"projectID","name","shortName","shortDescription","description","group","primaryUser"
138,"Montreal tag sensitivity","MONTREAL_TAG_SENS","To be entered by PI","To be entered by PI","NULL","2426"
139,"Barbados","BARBADOS","Two towers deployed to monitor the migration of shorebirds","Barbados is one of the nearest potential landfalls for shorebirds undertaking a fall transoceanic flight over the Western Atlantic, from the eastern coast of North America to South America. Most species that follow this fall migration route usually fly out","NULL","2428"
140,"SCDNR Shorebirds","SCDNR","NULL","Spring migration deployments on shorebirds in coastal South Carolina, primarily Red Knots and Ruddy Turnstones","1","2378"
141,"BDs_201704","BDs_201704","Essais tag Biotrack NTQB-2 avec antenne 7 éléments 150.100 13dB de ma fabrication et SensorGnome","Essais tag Biotrack NTQB-2 ( Tag No:1 - Frequency:150.100 - Code Set: 2003 - ID Code: 3 - Burst Rate: 30) avec antenne 7 éléments 150.100 13dB longueur 3 mètres de ma fabrication et SensorGnome","NULL","2429"
142,"Effects of mercury on ovenbird migration","OVEN_Hg","Autumn migration speed and success of ovenbirds that are dosed with mercury throughout their breeding season in Connecticut","We are using nanotags and the Motus network to investigate for the first time the effect that mercury accumulation in songbirds may have on the speed and success of long-distance migration. Ovenbirds will be nanotagged on their nesting territories in Conne","NULL","2433"
143,"Clapper Rail Survival in CT","CLRA_CT","Project to assess annual survival rates and migration pathways and stopovers of northern breeding clapper rails.","Clapper rails are an obligate salt marsh species that is showing large range-wide declines, particularly in the northern part of the breeding range. This project will assess annual survival rates, migration pathways, and stopovers of northern breeding clap","NULL","2435"
145,"Kirtland's Warbler Tracking, Bahamas - Michigan","KIWA_BAH_MI","Studying a population of endangered Kirtland's Warblers to determine the influence of winter conditions on migration departure date.","We propose to study a population of endangered Kirtland’s Warblers (Setophaga kirtlandii) on their Bahamian wintering grounds to elucidate how winter habitat and precipitation interact to determine winter food availability, winter body condition, and depar","1","2458"
146,"Neonicotinoid insecticides and migratory birds","NEONICS","Tracking the effects of neonicotinoid insecticides on migratory birds","Tracking the effects of neonicotinoid insecticides commonly used in seed treatments on migratory orientation and stopover duration in seed-eating passerines (white-crowned sparrows) at Long Point, ON.","NULL","354"
147,"Southern Great Plains Snowy Plover","SNPL","Monitoring population connectivity of Snowy Plovers (Charadrius nivosus nivosus) on the Southern Great Plains of Texas, New Mexico and Oklahoma","In this study, we will focus on highly isolated populations on the Southern Great Plains (SGP) of Texas, Oklahoma and New Mexico, that have experienced >75% declines in the last decade. Habitat degradation due to human disturbance, vegetation encroachment,","1","2466"
148,"Indiana","Indiana","NULL","NULL","NULL","2"
149,"Belize","Belize","NULL","NULL","NULL","2530"
150,"Coastal Georgia Array","COAST_GEORG_ARRAY","To be entered by PI","To be entered by PI","2","2491"
151,"Fort Indiantown Gap Bats","INDIANTOWN_BATS","The project is a small (6 receiver stations) grid setup on the ridges and valleys of the installation out near the east and west boundaries.","The project is a small (6 receiver stations) grid setup on the ridges and valleys of the installation out near the east and west boundaries. The intent is to track entrance and exit of multiple bat species to determine their common points of access and to ","NULL","3337"
152,"New York Lake Plains Motus","NY_LAKE_PLAINS","Monitoring migratory birds and bats at important stop-over sites in the Lake Plains Region of Western and Central New York. ","NULL","1","2675"
153,"Tulane_SESA_NGOM","SESA_STOPOVER","Investigating the stopover ecology of semipalmated sandpipers during spring migration along the northern Gulf of Mexico.","NULL","1","615"
154,"Ontario Pigeons","ON_ROPI","Test the Motus system using homing pigeons double-tagged with GPS and nanotags.","We will double-tag homing pigeons with GPS and nanotags to test the Motus system, in terms of the detection radius and detection probability of birds flying through the Ontario Motus array.","NULL","2508"
155,"Johnson - SE Florida Coast","FL_East_Boca","Small antenna mounted on house using rtl-sdr radio","Small antenna mounted on house using rtl-sdr radio","NULL","682"
156,"Black Tern movements - breeding/migration","BLTE","Tracking movements of Black Terns during breeding, staging and southward migration","We will be deploying nanotags on Black Terns (n=35) nesting in Tiny Marsh (near Elmvale, ON) during the summer of 2017. Up to three new Motus towers will be set up around that location. The main objectives of this work are to: (i) establish breeding home r","3","2514"
157,"Bioenergetics of WNS in western bat species","WNS_BATS","Assessing the bionergetic effects of white-nose syndrome in western bat species.","Our project will develop the science to help identify species that are susceptible to white-nose syndrome (WNS). To do so, we will use a mechanistic WNS survivorship model based on host bioenergetics, the pathogen, and environment. This research will help ","NULL","2536"
158,"Eastern Ontario Grasshopper Sparrow","GRSP_E_ON","Tracking movement and migration patterns of Grasshopper Sparrows in southern Ontario","Tracking movement and migration patterns of Grasshopper Sparrows in southern Ontario","3","2836"
159,"Local and migration movements of Canada Warbler","CAWA","NULL","We are studying the habitat selection during breeding and fall migration routes of the Canada Warbler. Our study site is at the teaching and research forest of Simoncouche (http://www.uqac.ca/fers/), affiliated to the Université du Québec à Chicoutimi (UQA","NULL","234"
160,"Myotis movements in eastern Québec","MYOTIS_E_QC","This project aims to document the migratory movements of two Myotis species (M. lucifugus and M. septentrionalis) during fall migration.","This project aims to document the migratory movements of two Myotis species (M. lucifugus and M. septentrionalis) during fall migration. We are also looking to document the summer range of Myotis bats, including feeding and roosting habitats used during th","3","234"
161,"Migration connectivity of the Rusty Blackbird ","RUBL_CONNECTIVITY","NULL","We are deploying nanotags on Rusty Blackbirds at the Observatoire d'oiseaux de Tadoussac (http://www.explosnature.ca/oot/) in order to determine fall migration routes and migratory connectivity of the species.","3","234"
162,"Western MA Tree Swallows","TRES_W_MA","To be entered by PI","To be entered by PI","NULL","2553"
163,"Norris - MOBU Neonic 2017","MOBU_NEONIC_2017","We will be investigating the effect of a neonicotinoid pesticide on monarch butterfly orientation and migration","Monarch butterflies eggs will be collected and reared in environmental chambers on milkweed treated with different concentrations of the neonicotinoid pesticide clothianidin. Upon eclosion, butterflies will be allocated to two experiments. The first will m","NULL","2555"
164,"Tracking post-breeding movements of Purple Martins","PUMA_POST_BREED","To be entered by PI","To be entered by PI","NULL","2578"
165,"Michigan motus array","MI_ARRAY"," Michigan receiver array for migration monitoring","Changed name as we now have locations throughout Michigan (getting up)","2","2532"
166,"Ft. De Soto","FT_DE_SOTO","Expanding the Motus network along the Gulf of Mexico in Florida for shore and seabirds.  ","Ft. De Soto is an island in the mouth of Tampa Bay that is an important nesting, overwintering and migration location.  ","2","2581"
167,"Virginia Eastern Red Bats","VI_ERB","Fall and spring coastal movement patterns of eastern red bats (Lasiurus borealis) along the mid-Atlantic coast.","This project aims to periodically catch and tag eastern red bats in coastal Maryland, Virginia and North Carolina to examine the timing and spatial aspects of bat movement along the mid-Atlantic coast and Chesapeake Bay area. Understanding temporal peaks a","1","2591"
168,"Montreal moult migrant research","MONTREAL_MOULT","Monitoring fall moult migration and movements of Swainson's Thrush and Tennessee Warblers in the greater Montreal area","To provide accurate environmental impact assessments in urban environments, it is important to understand how sensitive species, such as migrating birds, use those environments. Moult-migrant songbirds perform extended stopovers during migration in order t","1","2426"
169,"Species at Risk Research on the Carden Alvar","CARDEN_SAR","To be entered by PI","To be entered by PI","NULL","2602"
170,"Comparative physiology of Migratory songbirds","Snell","Stopover behaviour, migratory decisions, and orientation cue studies in Europe","Concurrent projects investigating individual's intrinsic regulation of stopover behaviour and migratory decisions (European robins), and an orientation cue study in free flying birds (Sylvia warbles). ","NULL","2646"
171,"Richardson's Merlin in Winnipeg","MB_MERL","Comparative analysis of habitat characteristics, nest density and survivability of Richardson’s Merlin (Falco columbarius richardsonii) in Winnipeg","A comparative analysis of the habitat characteristics, nest density and survivability of Richardson’s Merlin (Falco columbarius richardsonii) in the city of Winnipeg","NULL","2664"
172,"Sora Migration","SORA","Study of Sora Rail migration based at Patuxent River Park - Jug Bay Natural Area","NULL","1","2665"
173,"Maggini - Ventotene","Italian Islands","This is a new version of project #135","See project #135","NULL","2323"
174,"Bahia Lomas Shorebirds","BahiaLomas","Over winter shorebird ecology of Bahia Lomas, Chile with a particular focus on the Red Knot and Hudsonian Godwit.","Over winter shorebird ecology of Bahia Lomas, Chile with a particular focus on the Red Knot and Hudsonian Godwit. Monitoring and research activity, as well as the maintenance of infrastructure, is being managed by a collaborative including Bird Studies Can","9","2"
175,"Columbus Zoo","ColumbusZoo","Migratory bird tag tracking from the Columbus Zoo","Migratory bird tag tracking from the Columbus Zoo[BR]","NULL","2743"
177,"Biologic Motus","BioMotus","Motus array in Western Australia","NULL","1","2758"
178,"Toronto Zoo","TorontoZoo","Outreach for Motus program at the Toronto Zoo","The purpose of this project is to demonstrate the Motus program to the general public via a functional exhibit at the Toronto Zoo. A Motus receiver station has been installed in public view, which will be accompanied by interpretive signage. Wild nesting b","NULL","2770"
179,"Post breeding dispersal of Eurasian Starlings","RSPB_EUST","NULL","NULL","NULL","2423"
180,"Magellanic Plover","MAPL","NULL","NULL","NULL","2"
181,"Baden-Wuerttemberg bats","DE_bats","Bat research with beeper and nano tags in Baden-Wuerttemberg, Germany","NULL","NULL","2682"
182,"Actio Riparia Hungary","Riparia HU","Fixed and mobil CTT stations and nodes in Hungary for detecting migratory bird species and studies of sand martins marked in breeding colonies.","The first aim was to establish fixed continuously operating Motus station in Eastern Hungary at Szabolcs (field station owned by MME/BirdLife Hungary), situated along the important Central-European migratory flyway. On the base of experience of it, we init","1","2903"
183,"Albany Pine Bush Preserve","PineBush","Motus station at the Discovery Center in the Pine Bush Preserve, Albany NY","The Pine Bush Preserve in Albany, NY hosts a Motus station on the Discovery Center to support growth of the network.","1","3196"
184,"Zoo Miami","ZooMiami","Station located at Zoo Miami to increase Motus network coverage.","This station was installed as part of a statewide collaborative initiative of accredited zoos and aquariums within the Florida Association of Zoos and Aquariums (FAZA). The goal of the initiative is to get all of the accredited institutions within the stat","NULL","3213"
185,"Louisiana Chenier Stopover Habitat","LA_chenier","Evaluation of Chenier stopover habitat in southwest Louisiana for Nearctic-neotropical migratory bird.","NULL","1","3258"
186,"Stopover strategies after desert crossing","Maggini - Morocco","This is a comparative study investigating the role of standing water for migratory passerines stopping over in the desert.","This project aims at understanding the role of small desert oases for migrant passerines during their spring migration across the Sahara desert. In particular, the availability of water seems to affect some species more than others. Xeric-adapted species d","1","2323"
187,"Florida Spoonbills","FL_ROSP","Habitat usage of Roseate spoonbills in novel environments.","Over the last decade or so, Roseate Spoonbills have been adding new nesting locations throughout Florida that are outside their traditional nesting habitats of islands within estuaries (i.e., prior to 1992 spoonbills only nested on islands in Florida Bay, ","1","3367"
188,"TU_WIPL_LA","TU_WIPL_LA","Migration ecology study of Wilson's Plover natal and breeding dispersal.","NULL","NULL","3425"
189,"Fort Wayne Children's Zoo","FortWayne","A network of Motus stations in Northeast Indiana managed by the Fort Wayne Children's Zoo.","NULL","1","20102"
190,"PARI","PARI","Motus station setup at PARI in Rosman, NC.","NULL","NULL","3511"
191,"Pacific Shorebirds","Pacific Shorebirds"," Tracking study to follow shorebirds during migration on the Pacific flyway. ","Tracking study to follow birds during migration on the Pacific flyway. Collaboration between Environment and Climate Change Canada, Parks Canada, Raincoast Education Society, and Bird Studies Canada. Focal species include Western Sandpiper, Dunlin, Semipal","3","2476"
192,"Eastern Whip-poor-wills","EWPW","Eastern Whip-poor-will migratory movements from the Bruce Peninsula, ON","Eastern Whip-poor-will migratory movements from the Bruce Peninsula, ON","NULL","2578"
193,"Indiana Audubon","IN_Audubon","Motus station setup at the Mary Gray Bird Sanctuary, Indiana since 2018. The Indiana Dunes will be added online in late 2021. ","Our project is looking at stopover and wintering of NSWO during the 2018-2021 seasons. We will determine presence/absence and any other data available through this project. In addition, we are researching habitat nesting locations (native vs. non-native pl","1","3659"
194,"Common Nighthawk/Eastern Whip-poor-will","GrahameNightjars","Investigating breeding ground survival, departure dates, and migratory connectivity for Common Nighthawks and Eastern Whip-poor-wills breeding in ON.","Common Nighthawks and Eastern Whip-poor-wills are declining precipitously throughout their respective ranges, and if either or both species face an ecological trap, identifying it will be crucial in mitigating conservation efforts. Nighthawks and whip-poor","1","3808"
195,"Breeding habitat of Chimney Swift in Québec","Habitat-ChimneySwift","NULL","This project has two objectives. 1 - Document natural habitat selection during the breeding season and 2) determine fall migration routes used by a population of chimney swifts breeding at the northern edge of the species distribution in Quebec. This is an","3","234"
196,"Fire Island PIPL Fledgling Survival and Migration","Fire_Island_PIPL","Tracking fledgling piping plovers to document sources of pre-migration mortality and identify stopover locations.","We are deploying nanotags on near-fledgling piping plover chicks to document their movements and sources of mortality following fledge. We will be tracking individuals daily until they leave their natal grounds. Following their departure, we aim to identif","NULL","3797"
197,"Taylor - Swallows","TaylorSwallows","Tracking of the post-breeding and early migratory movements of Bank, Barn, Cliff and Tree Swallows from breeding sites in New Brunswick.","NULL","1","3900"
198,"Prothonotary Warbler Migration","PROW_Mig","Prothonotary Warbler nanotags deployments will build upon a growing network of migration research on this species.","Prothonotary Warbler nanotags deployments will build upon a growing network of migration research on this species.","1","3456"
199,"Ontario Bank Swallows 2018","BANS2018","Transmitters being placed on 100 bank swallow fledglings to measure survival.","Transmitters being placed on 100 bank swallow fledglings to measure survival.","1","365"
200,"Ontario Thrush Migration - 2017","ON SWTH GCTH Motus","SWTH and GCTH tagged on northern Bruce Peninsula in partnership with Bruce Peninsula Bird Observatory.","SWTH and GCTH tagged on northern Bruce Peninsula in partnership with Bruce Peninsula Bird Observatory.  Study to determine stopover behavior and delineate migration routes in Ontario.","1","365"
201,"Purple Martin","PUMA","Purple martin migratory movements from  Manitoba, ON","Purple martin migratory movements from  Manitoba, ON","NULL","2578"
202,"Darner Migration","Darner","NULL","NULL","NULL","2578"
203,"Landscape connectivity in Ontario bats","ON_bats","Movement of little brown bats from maternity sites to swarming sites","Tracking the movement patterns of little brown bats and big brown bats from summer maternity colonies. We hope to determine the direction travel and specific routes to swarming sites/areas.","1","4662"
204,"GTA Bat Tracking","GTA_bats","Tracking bats to locate roosts and foraging areas within the Greater Toronto Area.","We will be tracking bats primarily to locate roosts and foraging areas within the Greater Toronto Area. This project will focus on Canadian Federal Species at Risk, with some opportunistic tagging of other species. We will primarily track bats during the b","1","4670"
205,"Colorado State SWHA","CO_SWHA","Using Motus to determine exact timing of Swainson's Hawk arrival in California.","Station setup and Swainson's Hawk tagging to determine how territory habitat type influcences the time between arrival and nest initiation, run by Colorado State University.","1","4980"
206,"Painted Bunting spatial use and migration patterns","UNT_PABU","Documenting the movements, territory and home range sizes of Painted buntings on their north Texas breeding grounds, and southward migration patterns.","We propose to document movements, territory and home range sizes of Painted Buntings on their north Texas breeding grounds and provide additional information on southward migration patterns.  Specifically, we propose to attach nanotags to a sample of Secon","1","6160"
207,"Barn Swallows Cambridge and Toronto Zoo","BARS Migration","Studying Barn Swallow post-breeding dispersal and migration from release sites in Cambridge and Toronto Zoo.","This is part of a larger tagging effort at 20 barns located ENE of Guelph, Ontario.","3","365"
208,"Ontario Thrush Migration 2018","Thrush 2018","Project aimed at determining migration routes and stopover behavior of GCTH and SWTH through SW Ontario.","Project aimed at determining migration routes and stopover behavior of GCTH and SWTH through SW Ontario.  In partnership with BPBO and Phil Taylor at Acadia University.","NULL","365"
209,"WX MOBU Neonic 2018","WX_MOBU","We will outfit monarch butterflies with nanotags to determine the effect of the pesticide clothianidin on navigation and orientation.","Monarch butterflies will be reared on milkweed treated with a low and high dose of the pesticide clothianidin. Once pupated, adult butterflies will be released with nanotags to monitor the migration of the butterflies on their journey south to the overwint","NULL","2555"
210,"Missouri Motus Network","MOtus","Placing Motus receivers in Missouri.","Building Motus receiver infrastructure in two latitudinal arrays across north and south Missouri as part of strategic, regional Motus network expansion.","2","5191"
211,"SE Norwegian Coastline Passerines","Norway_passerine","Passerine migration behavior: tracking migration routes along the SE Norwegian coastline and use of area upon departure.","NULL","1","5245"
212,"Lake Superior Migration","LakeSuperiorMig","Lake Superior tracking network","NULL","1","6075"
213,"Intermountain West Collaboration - Birds","IWC birds","Intermountain West Flyway: Motus station network and collaborative bird research.","Intermountain West Flyway: Motus station network and collaborative bird research.[BR]Anyone interested in collaborative work to install and manage MOTUS stations or to deploy nanotags on birds, please contact William Blake @MPG Ranch.","1","6684"
214,"Movement Ecology of Finches in Australia 2018","Wyndham Finches 2018","Influence of fire of the movement behaviour of Gouldian and Long-tailed Finches in north-western Australia.","NULL","NULL","2508"
215,"SEFI - Receiver Station","SEFI","Receiver station on South East Farallon Islands. Specializing in vagrancy and orientation. Non-continuous MOTUS listening frequency.","Receiver station on South East Farallon Islands. Specializing in vagrancy and orientation. Non-continuous MOTUS listening frequency.","NULL","2646"
216,"Skagen Bird Observatory - Receiver Station","Skagen","Receiver station situated on northern tip of Denmark. Autumn migration of passerines from Oslo Fjord and spring migration/ecological barrier studies","Receiver station situated on northern tip of Denmark. Autumn migration of passerines from Oslo Fjord and spring migration and ecological barrier studies.  ","1","2646"
217,"Lifewatch Belgium","Lifewatch","LifeWatch Belgium develops and maintains a marine observatory including sensor networks. We aspire for automated data collection and data processing.","The Belgian LifeWatch project is part of the European LifeWatch infrastructure. LifeWatch was established as part of the European Strategy Forum on Research Infrastructure (ESFRI) and can be seen as a virtual laboratory for biodiversity research. VLIZ is c","NULL","7192"
218,"BIRDMOVE - Autumn songbird migration 2018","BIRDMOVE_Autumn2018","Songbirds tagged at the coast of Schleswig-Holstein (Germany) during autumn 2018","NULL","1","2340"
219,"BIRDMOVE - Dunlin migration across the North Sea","BIRDMOVE_Dunlins","Dunlin migration across the North Sea","NULL","1","2340"
220,"UQO toit","UQO","Antenna setup on the roof of the main building of UQO (Université du Québec en Outaouais).  Deployed and activate on July 17, 2019.","Antenna setup on the roof of the main building of UQO (Université du Québec en Outaouais).[BR]Remerciements: [BR]Organisme de financement: Table régionale de gestion intégrée des ressources et du territoire de l’Outaouais[BR]Organisme de soutien: Club des ornith","NULL","8310"
221,"Migratory behavior of SWTH in Western Washington","WA_SWTH","The goal of this project is to track spring migratory movements and post-breeding movements of Swainson’s Thrush in Western Washington.  ","The goal of this project is to track spring migratory movements and post-breeding movements of Swainson’s Thrush in Western Washington.  ","1","8296"
222,"CTT Delaware Bay Sanderling","CTTDelBaySAND","Dual-mode Motus towers in Delaware Bay","NULL","1","3507"
223,"Baltic Sea Motus Network","Baltic","Array of receivers on the Swedish and Finnish coast of the Baltic Sea. Coordinated by Ottenby Bird Observatory.","Under development. The Baltic Sea is a barrier for migratory birds and bats breeding or passing through Scandinavia. In this project we are building a network of towers in Sweden and Finland, providing an infrastructure to study migration and movements. Fo","1","9073"
224,"CTT Montezuma NWR Tree Swallows","CTTMontezumaTRES","Tree Swallow tagging with life tags at two dual-mode Motus towers in New York at Montezuma NWR ","NULL","1","3507"
225,"Connecticut Audubon Society receiver stations","DPFhs","General migration monitoring","Antenna host site at CT Audubon Society Deer Pond Farm Sanctuary in Sherman and FirstLight Power's Shepaug Dam in Southbury, Connecticut, USA","1","10244"
226,"Intermountain West Collaboration - Bats","IWC Bats","Intermountain West Flyway: Motus station network and collaborative bat research.","Intermountain West Flyway: Motus station network and collaborative bat research.[BR]Anyone interested in collaborative work to install and manage MOTUS stations or to deploy nanotags on bats, please contact William Blake @MPG Ranch.","1","6684"
227,"Bird Migration Tracking of Offshore area in Taiwan","BMTOT","Study how migratory birds move in the coastal area in West Taiwan.","Study how migratory birds move in the coastal area in West Taiwan.","1","11992"
228,"Louisiana Seaside Sparrow","LA_SESP","Assessing Seaside Sparrow abundance, distribution, annual survivorship, and productivity in southwest Louisiana","NanoTag transmitters will be used to assess movements of Seaside Sparrows associated with various dispersal events.","1","12062"
229,"Brazil Purple Martin","BrazilPUMA","Tagging and tracking of Purple Martins in Manaus and surrounding areas.","Dr. Kevin Fraser (University of Winnipeg), and Joe Siegrist (Purple Martin Conservation Association)","1","2578"
230,"Riverbanks Motus Tower","Riverbanks Motus","Riverbanks Motus Tower","Motus tower in the Riverbanks Zoo Garden","1","12284"
231,"American Tree Sparrows - Ontario","ATSP","Winter ecology of American Tree Sparrows in Southern Ontario","The objectives of this study are to utilize several bird tracking technologies to answer some fundamental questions regarding habitat use, movement patterns and winter survivorship in this species. Specifically, we plan to use miniature light-level geoloca","3","2672"
232,"Selva CAWA Colombia","CAWA_COL","Canada Warbler overwinter radio telemetry in Colombia","We are using Motus to estimate overwinter survival of Canada Warblers in three regions of the Colombian Andes","9","584"
233,"Craney Island Shorebird Migration Site","Craney Island","Site location established to detect migrating shorebirds that use Craney Island facility in coastal Virginia","Site location established to detect migrating shorebirds that use Craney Island facility in coastal Virginia","NULL","12509"
234,"WGLBBO - Wisconsin Subnetwork","WGLBBO Subnet","Western Great Lakes Bird and Bat Observatory Inc. buildout of Motus stations in southern Wisconsin","A network of East-West and North to South stations across S.Wis and Lake Michigan shoreline to study nanotagged birds in migration.","1","21171"
235,"Biologic - BHP","BIOBHP","An array in the NW of Western Australia","An array in the NW of Western Australia","1","2758"
236,"Biologic - RTIO","BIO-RTIO","An array in the NW of Western Australia","An array in the NW of Western Australia","1","2758"
237,"Barn Swallows in Panjin, China","CNPJ","Monitor barn swallows' activity in China.","I aim to use Motus Wildlife Tracking System to study the activity of breeding Barn Swallows (Hirundo rustica) in Panjin, China.","NULL","14308"
238,"Vienna test","Vienna test","Test of different antenna and receiver setups for use in different projects","Test of different antenna and receiver setups for use in different projects","1","2323"
239,"Brazil Non-Breeding Shorebirds","BrazilShorebirds","Tracking Shorebird Movements on Non-Breeding Grounds of Brazil","Tracking Shorebird Movements on Non-Breeding Grounds of Brazil","3","219"
240,"ERI","Kent Farm","Local Motus station at Kent Farm Research Station","NULL","1","15007"
241,"Movement Ecology of Finches Australia 2019","AusFinch2019","NULL","NULL","1","2508"
242,"New Jersey wintering sparrows","NJ sparrows","NULL","NULL","NULL","15271"
243,"Florida Aquarium","FLAQ","Migratory bird tag tracking from the Florida Aquarium Center for Conservation","Migratory bird tag tracking from the Florida Aquarium Center for Conservation","1","28971"
244,"Rookery Bay Reserve Migratory Network","RBR Migration","This is an expansion of the South Florida MOTUS network. This data will be used to compliment pre-existing projects nationwide.","This tower will be used as an expansion of the South Florida network. Pre-existing projects will benefit from an additional source of movement data. This tower will be critical in documenting migratory shorebirds such as the black skimmer and red knot. Cur","1","21985"
246,"Clive Runnells Mad Island Marsh Preserve","Mad Island","Spring migration stopover","Spring migration stopover banding and tagging by Smithsonian Migratory Bird Center.","1","16113"
247,"Kern River Valley Tri-colored Blackbird Study","Kern TRBL","This is a pilot study to document the movements of Tri-colored Blackbirds in the Kern River Valley, California.","The Tricolored Blackbird (Agelaius tricolor, TRBL) has suffered a long-term decline in abundance in California, including a 63% loss from 2008 to 2014, which led the California Fish and Wildlife Commission in April 2018 to list it as Threatened under the C","1","16192"
248,"CTA - James Bay Array","CTA_JamesBay","An array of receivers along the eastern portion of James Bay. Operated by the Cree Trappers Association.","NULL","NULL","547"
249,"Sara Lupi - GHR and migratory behavior","Sara Lupi OldCut2019","Field radio-tracking experiment to study the effects of experimentally increased ghrelin on migratory behavior","We aim at testing for short-term and carry-over effects of experimentally increased ghrelin on migratory behavior and strategy. We trap yellow-rumped warblers (Setophaga coronata) during the wintering period in Southern US and during spring migration at th","1","16997"
250,"Saskatchewan Passerine Ecology","Sask Passerine","Projects investigating migration, survival and ecology of passerine birds in Saskatchewan.","Projects investigating migration, survival and ecology of passerine birds in Saskatchewan and elsewhere. Currently focussed on aerial insectivores.","3","17302"
251,"CTT Test Project","CTTTEST","Where test data from dual mode receivers will go. ","NULL","9","622"
252,"New England Rusty Blackbird Project","NE RUBL","Post-breeding and migratory movements of Rusty Blackbirds from northern New England breeding populations","This project investigates the post-breeding movements of adult Rusty Blackbirds on their breeding grounds in northern New England and documents their migration phenology and pathways.","2","16690"
253,"Audubon South Carolina Tower Network","ASCmotus","This is a coordinated effort to contribute to the Motus Tower effort with Audubon South Carolina Chapters, Bird Friendly Communities, and Partners. ","Audubon South Carolina is working with engaged chapters, communities, and partners to create a tower network around the state of South Carolina to contribute to the science of migration. ","1","15825"
254,"BIRDMOVE - Wheatear spring migration 2019","BIRDMOVE_Spring2019","Wheatears tagged at the coast of Niedersachsen (Germany) in spring 2019.","wheatears tagged in spring 2019","1","2340"
255,"GREY CHEEKED THRUSH FROM RUSSIA WITH LOVE","GCTH","We have tagged 10 GCHT in Chukotka (North-East Russia) with Lotek tags to see their migration strategies during passage to Latin America. ","NULL","9","17674"
256,"Early Successional and Peatlands movement","ESPM","Post-fledging movements of amwo, gwwa, veer, boch, conw","NULL","1","6075"
257,"Timucuan Bird Monitoring","TIMUBIRD","Receiving station at NPS Kingsley Plantation, Timucuan Ecological and Historic Preserve","NULL","2","351"
258,"Nicaragua - Reserva El Jaguar","REJ-Nicaragua","Passive Motus station at Reserva El Jaguar - Nicaragua.","Passive Motus station at Reserva El Jaguar - Nicaragua.","1","25280"
259,"Southeast NC Motus","SE.NC","UNCW erects a series of Motus towers in Southeastern North Carolina to study migratory behavior of sparrows.","Researchers at the University of North Carolina Wilmington are erecting a series of Motus towers with the goal of determining the migratory behavior of seaside sparrows (Ammodramus Maritimus).","1","22090"
260,"COTE Interstate","Interstate","tracking family groups","NULL","1","6075"
261,"Champlain Valley Motus Project","ChamplainValley","Use of Motus to track transmitters in the Champlain Valley of Vermont","Erecting 2 Motus Towers in in the Champlain Valley of Vermont","NULL","18026"
262,"PUMA-Manitoba-2019","PUMA-M19","Tagging and tracking of Purple Martins in Manitoba for the light extension experiment.[BR]","Dr. Kevin Fraser (University of Manitoba), and Joe Siegrist (Purple Martin Conservation Association)","1","3170"
263,"PUMA-Ontario-2019","PUMA-On19","Tagging and tracking of Purple Martins in Ontario for the third year.[BR]","Dr. Kevin Fraser (University of Manitoba), and Joe Siegrist (Purple Martin Conservation Association)","1","3170"
265,"Gerson UMass Sonoran Desert Array","UMass Sonoran","Fall migratory movement tracking through Sonoran Desert","Monitoring stopover refueling in passerine migrants on their southbound migratory flight. ","1","538"
266,"UMaine Migration Ecology","UMaine Migration","My lab is investigating migration ecology of Golden-winged Warbler and Bicknell's Thrush. ","Our current focus is to use NanoTags to track Golden-winged Warbler migration and to better understand annual suvival.","2","18427"
267,"Purple Martin McGill ","PUMA McGill ","Tagging Purple Martin fledglings in southern Quebec","As part of a MSc research project at McGill University (co-supervisors: Kyle Elliott and Kevin Fraser (University of Manitoba)), Purple Martin fledglings will be tagged to gather data on post fledgling period for multiple colonies in southern Quebec","1","2426"
268,"Chimney Swift Roost Networks","Swift roosts","We seek to understand how Chimney Swifts use roosts at a large spatial scale (southern NS).","Chimney Swift roosts are a limiting habitat factor - they are few and far between.  We will be MOTUS tagging swifts to understand how they use roosts throughout the breeding season.  By identifying roosts with high traffic (nodes in a network) we can bette","1","18492"
269,"Selva -  GHTH - Colombia - Andes","SELVA_GCTH_Andes","Gray-cheeked Thrush tagged in Central Colombia","These tags were deployed in the central chain of the Andes","1","584"
270,"Selva - Swainson's Thrush - Colombia","SWTH","All SWTHs from Selva Colombia","NULL","1","584"
271,"American Kestrel Relocation ","AMKE RELO","American Kestrels are relocated from area airports.","American Kestrels are frequently struck by aircraft.  Kestrels are trapped and relocated from airports to protect the birds and increase safety at airports.  More work is needed to understand how these birds respond to being relocated. ","NULL","18523"
273,"Collaborative Western Canada Array","CanWest","Western array managed by Birds Canada with Environment and Climate Change Canada.","Western array managed by Birds Canada with Environment and Climate Change Canada.","9","20096"
274,"Michigan Upper Peninsula","Michigan -UP","Regional array on the Upper Peninsula of Michigan led by the Cooper Country Audubon. ","Regional array on the Upper Peninsula of Michigan. ","NULL","2"
275,"School District of Indian River County, FL","Indian River County","Receiving station on Vero Beach High School","NULL","2","19287"
276,"North Atlantic Population Canada Goose","NAP CAGO","Assessment of harvest rates, and timing of arrival and duration of stay for south-migrating North Atlantic Population Canada geese.","We propose to conduct a study using nanotag technology to assess current migration patterns, wintering terminus points, and if possible, adult survival rates.  We will use the existing network of towers, and erect new stations in areas where we have some g","3","16679"
